Family_AC,Family_ID,Description
RF00641,mir-154,mir-154 microRNA precursor family
RF00642,mir-23,microRNA mir-23
RF00643,MIR171_1,microRNA MIR171_1
RF00644,mir-27,microRNA mir-27
RF00645,MIR169_2,microRNA MIR169_2
RF00646,mir-204,microRNA mir-204
RF00647,MIR164,MIR164 microRNA precursor family
RF00648,MIR396,microRNA MIR396
RF00649,mir-128,microRNA mir-128
RF00650,mir-153,microRNA mir-153
RF00651,mir-221,microRNA mir-221
RF00652,MIR478,microRNA MIR478
RF00653,mir-22,microRNA mir-22
RF00654,mir-216,microRNA mir-216
RF00655,mir-28,microRNA mir-28
RF00656,mir-205,microRNA mir-205
RF00657,mir-184,microRNA mir-184
RF00658,mir-21,microRNA mir-21
RF00659,mir-365,microRNA mir-365
RF00660,mir-214,mir-214 microRNA precursor family
RF00662,mir-132,microRNA mir-132
RF00663,mir-183,microRNA mir-183
RF00664,mir-223,microRNA mir-223
RF00665,mir-290,mir-290 microRNA precursor family
RF00666,mir-32,mir-32 microRNA precursor family
RF00667,mir-33,microRNA mir-33
RF00668,mir-302,microRNA mir-302
RF00669,mir-96,microRNA mir-96
RF00670,mir-105,mir-105 microRNA precursor family
RF00671,mir-138,microRNA mir-138
RF00672,mir-190,microRNA mir-190
RF00673,mir-217,microRNA mir-217
RF00674,mir-187,microRNA mir-187
RF00675,mir-145,microRNA mir-145
RF00676,mir-127,microRNA mir-127
RF00677,MIR168,microRNA MIR168
RF00678,mir-140,microRNA mir-140
RF00679,mir-210,microRNA mir-210
RF00680,mir-224,mir-224 microRNA precursor family
RF00681,mir-198,mir-198 microRNA precursor family
RF00682,mir-144,microRNA mir-144
RF00683,mir-143,microRNA mir-143
RF00684,mir-122,mir-122 microRNA precursor
RF00685,mir-36,microRNA mir-36
RF00686,mir-338,microRNA mir-338
RF00687,mir-136,microRNA mir-136
RF00688,MIR394,microRNA MIR394
RF00689,MIR390,microRNA MIR390
RF00690,MIR408,microRNA MIR408
RF00691,mir-146,microRNA mir-146
RF00692,MIR171_2,microRNA MIR171_2
RF00693,mir-147,mir-147 microRNA precursor family
RF00694,mir-137,microRNA mir-137
RF00695,MIR398,microRNA MIR398
RF00696,mir-203,microRNA mir-203
RF00697,mir-186,microRNA mir-186
RF00698,mir-489,microRNA mir-489
RF00699,mir-134,microRNA mir-134
RF00700,mir-375,microRNA mir-375
RF00701,mir-126,microRNA mir-126
RF00702,mir-182,mir-182 microRNA precursor family
RF00703,mir-139,microRNA mir-139
RF00704,MIR397,microRNA MIR397
RF00705,mir-202,microRNA mir-202
RF00706,mir-263,mir-263 microRNA precursor family
RF00707,mir-197,microRNA mir-197
RF00708,mir-450,microRNA mir-450
RF00709,mir-455,mir-455 microRNA precursor family
RF00710,mir-44,microRNA mir-44
RF00711,mir-449,mir-449 microRNA precursor family
RF00712,mir-460,microRNA mir-460
RF00713,mir-239,microRNA mir-239
RF00714,MIR535,MIR535 microRNA precursor family
RF00715,mir-383,microRNA mir-383
RF00716,mir-3,microRNA mir-3
RF00717,mir-315,microRNA mir-315
RF00718,mir-431,mir-431 microRNA precursor family
RF00719,mir-326,microRNA mir-326
RF00720,mir-317,microRNA mir-317
RF00721,MIR475,microRNA MIR475
RF00722,mir-451,microRNA mir-451
RF00723,mir-448,mir-448 microRNA precursor family
RF00724,mir-282,mir-282 microRNA precursor family
RF00725,mir-iab-4,mir-iab-4 microRNA precursor family
RF00726,mir-87,mir-87 microRNA precursor family
RF00727,bantam,bantam microRNA precursor family
RF00728,mir-81,mir-81 microRNA precursor family
RF00729,mir-278,microRNA mir-278
RF00730,mir-277,microRNA mir-277
RF00731,mir-155,microRNA mir-155
RF00732,mir-305,microRNA mir-305
RF00733,mir-296,microRNA mir-296
RF00734,mir-52,microRNA mir-52
RF00735,mir-367,microRNA mir-367
RF00736,mir-320,mir-320 microRNA precursor family
RF00737,mir-322,microRNA mir-322
RF00739,MIR476,MIR476 microRNA precursor family
RF00740,mir-370,mir-370 microRNA precursor family
RF00741,mir-378,microRNA mir-378
RF00742,MIR162_1,MIR162_1 microRNA precursor family
RF00743,mir-308,mir-308 microRNA precursor family
RF00744,mir-361,microRNA mir-361
RF00745,mir-499,microRNA mir-499
RF00746,mir-454,microRNA mir-454
RF00747,mir-283,microRNA mir-283
RF00748,mir-433,mir-433 microRNA precursor family
RF00749,mir-208,microRNA mir-208
RF00750,mir-458,microRNA mir-458
RF00751,mir-12,microRNA mir-12
RF00752,mir-14,microRNA mir-14
RF00753,mir-503,microRNA mir-503
RF00754,mir-279,mir-279 microRNA precursor family
RF00755,mir-542,microRNA mir-542
RF00756,mir-299,microRNA mir-299
RF00757,mir-275,microRNA mir-275
RF00758,mir-346,mir-346 microRNA precursor family
RF00760,mir-342,mir-342 microRNA precursor family
RF00761,mir-340,microRNA mir-340
RF00762,mir-412,mir-412 microRNA precursor family
RF00763,mir-339,microRNA mir-339
RF00764,mir-191,microRNA mir-191
RF00765,mir-337,mir-337 microRNA precursor family
RF00766,mir-335,microRNA mir-335
RF00767,mir-150,microRNA mir-150
RF00768,MIR405,MIR405 microRNA precursor family
RF00769,mir-331,microRNA mir-331
RF00770,mir-330,microRNA mir-330
RF00771,mir-185,microRNA mir-185
RF00772,mir-328,microRNA mir-328
RF00773,mir-298,microRNA mir-298
RF00774,mir-360,microRNA mir-360
RF00775,mir-432,mir-432 microRNA precursor family
RF00776,mir-540,microRNA mir-540
RF00777,mir-541,mir-541 microRNA precursor family
RF00778,MIR473,microRNA MIR473
RF00779,MIR474,microRNA MIR474
RF00780,MIR477,microRNA MIR477
RF00781,mir-505,microRNA mir-505
RF00782,MIR480,microRNA MIR480
RF00783,mir-484,microRNA mir-484
RF00784,mir-486,microRNA mir-486
RF00785,mir-90,microRNA mir-90
RF00786,mir-289,mir-289 microRNA precursor family
RF00787,mir-288,mir-288 microRNA precursor family
RF00788,mir-287,microRNA mir-287
RF00789,mir-286,microRNA mir-286
RF00790,mir-358,mir-358 microRNA precursor family
RF00791,mir-357,microRNA mir-357
RF00792,mir-490,microRNA mir-490
RF00793,mir-497,microRNA mir-497
RF00794,mir-42,microRNA mir-42
RF00795,mir-43,microRNA mir-43
RF00796,mir-48,microRNA mir-48
RF00797,mir-355,microRNA mir-355
RF00798,mir-49,microRNA mir-49
RF00799,mir-354,mir-354 microRNA precursor family
RF00801,mir-280,microRNA mir-280
RF00802,mir-207,microRNA mir-207
RF00803,mir-425,microRNA mir-425
RF00804,mir-240,mir-240 microRNA precursor family
RF00805,mir-351,microRNA mir-351
RF00806,mir-350,microRNA mir-350
RF00807,mir-314,microRNA mir-314
RF00808,mir-86,microRNA mir-86
RF00809,mir-241,microRNA mir-241
RF00810,mir-85,microRNA mir-85
RF00811,mir-84,microRNA mir-84
RF00812,mir-83,microRNA mir-83
RF00813,mir-11,mir-11 microRNA precursor family
RF00814,mir-316,microRNA mir-316
RF00815,mir-244,mir-244 microRNA precursor family
RF00816,mir-245,microRNA mir-245
RF00817,mir-80,microRNA mir-80
RF00818,mir-318,microRNA mir-318
RF00819,mir-246,microRNA mir-246
RF00820,mir-248,mir-248 microRNA precursor family
RF00821,mir-249,mir-249 microRNA precursor family
RF00822,mir-274,microRNA mir-274
RF00823,lsy-6,lsy-6 microRNA precursor family
RF00824,mir-50,mir-50 microRNA precursor family
RF00825,mir-344,mir-344 microRNA precursor family
RF00826,mir-55,microRNA mir-55
RF00827,mir-77,microRNA mir-77
RF00828,mir-75,microRNA mir-75
RF00829,mir-149,microRNA mir-149
RF00830,mir-74,mir-74 microRNA precursor family
RF00831,mir-73,mir-73 microRNA precursor family
RF00832,mir-71,microRNA mir-71
RF00833,mir-70,mir-70 microRNA precursor family
RF00834,mir-268,microRNA mir-268
RF00835,mir-58,microRNA mir-58
RF00836,mir-250,microRNA mir-250
RF00837,mir-251,microRNA mir-251 microRNA precursor family
RF00838,mir-252,mir-252 microRNA precursor family
RF00839,mir-452,microRNA mir-452
RF00840,mir-374,microRNA mir-374
RF00841,mir-384,mir-384 microRNA precursor family
RF00842,MIR403,microRNA MIR403
RF00843,mir-228,microRNA mir-228
RF00844,mir-67,microRNA mir-67
RF00845,MIR158,MIR158 microRNA precursor family
RF00846,mir-64,microRNA mir-64
RF00847,mir-62,mir-62 microRNA precursor family
RF00848,mir-61,microRNA mir-61
RF00849,mir-60,microRNA mir-60
RF00850,mir-259,microRNA mir-259
RF00851,mir-230,mir-230 precursor family
RF00852,mir-231,microRNA mir-231
RF00853,mir-304,microRNA mir-304
RF00854,mir-5,microRNA mir-5
RF00855,mir-254,mir-254 microRNA precursor family
RF00856,mir-232,microRNA mir-232
RF00857,mir-233,microRNA mir-233
RF00858,mir-306,microRNA mir-306
RF00859,mir-234,microRNA mir-234
RF00861,mir-488,microRNA mir-488
RF00862,mir-491,microRNA mir-491
RF00863,mir-BART17,mir-BART17 microRNA precursor family
RF00864,mir-BART20,mir-BART20 microRNA precursor family
RF00865,MIR169_5,microRNA MIR169_5
RF00866,mir-BART3,mir-BART3 microRNA precursor family
RF00867,mir-BART5,mir-BART5 microRNA precursor family
RF00868,mir-BART15,mir-BART15 microRNA precursor family
RF00869,mir-BART7,microRNA mir-BART7
RF00870,mir-423,microRNA mir-423
RF00872,mir-652,mir-652 microRNA precursor family
RF00873,mir-550,microRNA mir-550
RF00874,mir-BART12,microRNA mir-BART12
RF00875,mir-692,microRNA mir-692
RF00876,mir-684,microRNA mir-684
RF00877,mir-592,microRNA mir-592
RF00878,mir-456,microRNA mir-456
RF00879,mir-615,microRNA mir-615
RF00883,MIR820,MIR820 microRNA precursor family
RF00884,MIR815,microRNA MIR815
RF00885,MIR821,microRNA MIR821
RF00886,MIR807,microRNA MIR807
RF00887,mir-802,mir-802 microRNA precursor family
RF00888,mir-770,mir-770 microRNA precursor family
RF00890,mir-668,mir-668 microRNA precursor family
RF00891,mir-671,microRNA mir-671
RF00892,mir-551,microRNA mir-551
RF00893,MIR854,microRNA MIR854
RF00894,mir-790,microRNA mir-790
RF00895,mir-786,mir-786 microRNA precursor family
RF00896,mir-787,mir-787 microRNA precursor family
RF00897,mir-675,microRNA mir-675
RF00898,mir-242,microRNA mir-242
RF00899,mir-235,mir-235 microRNA precursor family
RF00900,mir-255,microRNA mir-255
RF00901,MIR845_1,microRNA MIR845_1
RF00902,mir-791,microRNA mir-791
RF00903,mir-359,mir-359 microRNA precursor family
RF00904,mir-392,microRNA mir-392
RF00905,mir-789,microRNA mir-789
RF00906,MIR1122,microRNA MIR1122
RF00907,mir-941,microRNA mir-941
RF00908,MIR529,microRNA MIR529
RF00909,mir-883,mir-883 microRNA precursor family
RF00910,mir-873,microRNA mir-873
RF00911,mir-672,microRNA mir-672
RF00912,mir-877,microRNA mir-877
RF00914,mir-674,microRNA mir-674
RF00915,mir-760,mir-760 microRNA precursor family
RF00917,mir-708,mir-708 microRNA precursor family
RF00918,mir-872,mir-872 microRNA precursor family
RF00919,mir-874,microRNA mir-874
RF00920,MIR444,microRNA MIR444
RF00921,mir-665,microRNA mir-665
RF00922,mir-673,microRNA mir-673
RF00925,MIR1027,microRNA MIR1027
RF00926,MIR1151,microRNA MIR1151
RF00927,mir-582,microRNA mir-582
RF00928,mir-590,microRNA mir-590
RF00929,mir-574,mir-574 microRNA precursor family
RF00931,mir-879,microRNA mir-879
RF00932,mir-471,microRNA mir-471
RF00933,mir-875,microRNA mir-875
RF00934,mir-463,microRNA mir-463
RF00935,mir-876,microRNA mir-876
RF00936,mir-744,microRNA mir-744
RF00937,mir-653,microRNA mir-653
RF00939,mir-504,microRNA mir-504
RF00940,mir-327,microRNA mir-327
RF00941,mir-434,microRNA mir-434
RF00942,mir-1224,microRNA mir-1224
RF00943,MIR824,microRNA MIR824
RF00945,mir-1226,mir-1226 microRNA precursor family
RF00946,mir-1225,microRNA mir-1225
RF00947,mir-929,microRNA mir-929
RF00948,mir-996,mir-996 microRNA precursor family
RF00949,mir-983,microRNA mir-983
RF00950,mir-927,microRNA mir-927
RF00951,mir-1302,microRNA mir-1302
RF00952,mir-650,microRNA mir-650
RF00953,mir-1497,microRNA mir-1497
RF00954,MIR1446,MIR1446 microRNA precursor family
RF00955,mir-1829,microRNA mir-1829
RF00956,MIR1444,microRNA MIR1444
RF00958,mir-498,microRNA mir-498
RF00959,mir-612,mir-612 microRNA precursor family
RF00960,mir-661,microRNA mir-661
RF00961,mir-581,microRNA mir-581
RF00962,mir-586,microRNA mir-586
RF00963,mir-642,microRNA mir-642
RF00964,mir-938,microRNA mir-938
RF00965,mir-549,microRNA mir-549
RF00966,mir-676,mir-676 microRNA precursor family
RF00967,mir-281,mir-281 microRNA precursor family
RF00968,mir-626,mir-626 microRNA precursor family
RF00969,mir-556,microRNA mir-556
RF00970,mir-648,mir-648 microRNA precursor family
RF00971,mir-578,mir-578 microRNA precursor family
RF00972,mir-651,mir-651 microRNA precursor family
RF00973,mir-597,mir-597 microRNA precursor family
RF00974,mir-607,microRNA mir-607
RF00975,MIR845_2,microRNA MIR845_2
RF00976,mir-583,microRNA mir-583
RF00977,mir-600,microRNA mir-600
RF00978,mir-638,microRNA mir-638
RF00979,mir-553,microRNA mir-553
RF00980,mir-643,microRNA mir-643
RF00981,mir-939,microRNA mir-939
RF00983,mir-662,microRNA mir-662
RF00984,mir-576,microRNA mir-576
RF00985,mir-640,microRNA mir-640
RF00986,mir-920,mir-920 microRNA precursor family
RF00987,mir-589,microRNA mir-589
RF00988,mir-657,microRNA mir-657
RF00989,mir-492,microRNA mir-492
RF00990,mir-552,microRNA mir-552
RF00991,mir-599,microRNA mir-599
RF00992,mir-593,microRNA mir-593
RF00993,mir-1473,microRNA mir-1473
RF00994,mir-1255,mir-1255 microRNA precursor family
RF00995,mir-616,microRNA mir-616
RF00996,mir-631,microRNA mir-631
RF00997,mir-942,microRNA mir-942
RF00998,mir-562,mir-562 microRNA precursor family
RF00999,mir-924,microRNA mir-924
RF01000,mir-580,microRNA mir-580
RF01001,mir-609,microRNA mir-609
RF01002,mir-936,microRNA mir-936
RF01003,mir-563,microRNA mir-563
RF01004,mir-557,microRNA mir-557
RF01005,MIR530,microRNA MIR530
RF01006,mir-601,microRNA mir-601
RF01007,mir-624,microRNA mir-624
RF01008,mir-636,microRNA mir-636
RF01009,mir-M7,microRNA mir-M7
RF01010,mir-632,microRNA mir-632
RF01011,mir-605,microRNA mir-605
RF01012,mir-628,microRNA mir-628
RF01013,mir-577,microRNA mir-577
RF01014,mir-1306,microRNA mir-1306
RF01015,mir-885,microRNA mir-885
RF01016,mir-584,mir-584 microRNA precursor family
RF01018,mir-569,mir-569 microRNA precursor family
RF01019,mir-922,microRNA mir-922
RF01020,mir-572,microRNA mir-572
RF01021,mir-558,microRNA mir-558
RF01022,mir-611,microRNA mir-611
RF01023,mir-940,microRNA mir-940
RF01024,mir-944,microRNA mir-944
RF01025,mir-934,microRNA mir-934
RF01026,MIR828,microRNA MIR828
RF01027,mir-765,microRNA mir-765
RF01028,mir-633,microRNA mir-633
RF01029,mir-649,microRNA mir-649
RF01030,mir-422,microRNA mir-422
RF01031,mir-639,microRNA mir-639
RF01032,mir-554,microRNA mir-554
RF01033,mir-767,microRNA mir-767
RF01034,mir-618,microRNA mir-618
RF01035,mir-887,microRNA mir-887
RF01036,mir-567,microRNA mir-567
RF01037,mir-644,microRNA mir-644
RF01038,mir-1307,microRNA mir-1307
RF01039,mir-937,microRNA mir-937
RF01040,mir-573,microRNA mir-573
RF01041,mir-604,microRNA mir-604
RF01042,mir-891,microRNA mir-891
RF01043,MIR1023,microRNA MIR1023
RF01044,mir-345,microRNA mir-345
RF01045,mir-544,microRNA mir-544
RF01046,WLE3,Wingless localisation element 3 (WLE3)
RF01050,Sacc_telomerase,Saccharomyces telomerase
RF01052,Arthropod_7SK,Arthropod 7SK RNA
RF01053,Deinococcus_Y_RNA,Deinococcus radiodurans Y RNA
RF01055,Molybdenum,Molybdenum/Tungsten riboswitch aptamer (Moco RNA motif)
RF01056,Magnesium-II,Magnesium riboswitch aptamer (Magnesium responsive RNA element)
RF01059,mir-598,microRNA mir-598
RF01061,mir-548,microRNA mir-548
RF01064,mir-253,microRNA mir-253
RF01065,23S-methyl,23S methyl RNA motif
RF01066,6C,6C RNA
RF01067,ATPC,ATPC RNA motif
RF01068,Guanidine-II,Guanidine-II riboswitch aptamer (mini-ykkC)
RF01069,purD,purD RNA motif
RF01070,sucA,SucA RNA motif
RF01072,TMV_UPD-PK3,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01074,RF_site1,Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01075,TLS-PK1,Pseudoknot of tRNA-like structure
RF01076,RF_site2,Polymerase ribosomal frameshift site
RF01077,TLS-PK2,Pseudoknot of tRNA-like structure
RF01078,PK-PYVV,3'-terminal pseudoknot in PYVV
RF01079,RF_site3,Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01080,UPD-PKib,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01081,SBWMV1_UPD-PKe,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01082,SBWMV1_UPD-PKh,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01083,UPD-PK2,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01085,TLS-PK4,Pseudoknot of tRNA-like structure
RF01087,PK-repZ,Pseudoknot of the regulatory region of the repZ gene
RF01088,TLS-PK5,Pseudoknot of tRNA-like structure
RF01089,PK-repBA,Pseudoknot of the regulatory region of the repBA gene
RF01090,RF_site4,Edr gene ribosomal frameshift signal
RF01091,PK-SPCSV,3'-terminal pseudoknot in SPCSV
RF01092,GP_knot2,Gag/pol translational readthrough site
RF01093,RF_site5,Ma3 gene ribosomal frameshift signal
RF01094,RF_site6,Polymerase ribosomal frameshift site
RF01095,PK-CuYV_BPYV,3'-terminal pseudoknot of CuYV/BPYV
RF01096,PK-HAV,HepA virus 3'-terminal pseudoknot
RF01097,RF_site8,Gag/pro ribosomal frameshift site
RF01098,RF_site9,Gag/pro ribosomal frameshift site
RF01099,PK-IAV,Pseudoknot of influenza A virus gene
RF01100,PK-BYV,3'-terminal pseudoknot in BYV
RF01101,TLS-PK6,Pseudoknot of tRNA-like structure
RF01102,PK1-TEV_CVMV,5'-leader pseudoknot of TEV/CVMV
RF01103,UPD-PKc,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01104,SBWMV2_UPD-PKb,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01105,SBWMV2_UPD-PKl,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01106,SBWMV1_UPD-PKb,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01107,SBRMV1_UPD-PKf,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01108,BMV3_UPD-PK1,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01109,SBRMV1_UPD-PKd,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01111,SBWMV2_UPD-PKk,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01113,BMV3_UPD-PK3,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01114,TMV_UPD-PK1,Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01116,Yfr1,Cyanobacterial functional RNA 1
RF01117,ciona-mir-92,Ciona microRNA mir-92
RF01119,sR32,Small nucleolar RNA sR32
RF01120,sR33,Small nucleolar RNA sR33
RF01121,sR38,Small nucleolar RNA sR38
RF01122,sR39,Small nucleolar RNA sR39
RF01123,sR35,Small nucleolar RNA sR35
RF01124,sR36,Small nucleolar RNA sR36
RF01125,sR4,Small nucleolar RNA sR4
RF01126,sR41,Small nucleolar RNA sR41
RF01127,sR42,Small nucleolar RNA sR42
RF01128,sR43,Small nucleolar RNA sR42
RF01129,sR44,Small nucleolar RNA sR44
RF01130,sR46,Small nucleolar RNA sR46
RF01131,sR47,Small nucleolar RNA sR47
RF01132,sR48,Small nucleolar RNA sR48
RF01133,sR3,Small nucleolar RNA sR3
RF01134,sR30,Small nucleolar RNA sR30
RF01135,sR24,Small nucleolar RNA sR24
RF01136,sR28,Small nucleolar RNA sR28
RF01137,sR21,Small nucleolar RNA sR21
RF01138,sR23,Small nucleolar RNA sR23
RF01139,sR2,Small nucleolar RNA sR2
RF01140,sR20,Small nucleolar RNA sR20
RF01141,sR18,Small nucleolar RNA sR18
RF01142,sR19,Small nucleolar RNA sR19
RF01143,sR16,Small nucleolar RNA sR16
RF01144,sR17,Small nucleolar RNA sR17
RF01145,sR14,Small nucleolar RNA sR14
RF01146,sR15,Small nucleolar RNA sR15
RF01147,sR12,Small nucleolar RNA sR12
RF01149,sR10,Small nucleolar RNA sR10
RF01150,sR11,Small nucleolar RNA sR11
RF01151,snoU82P,Small nucleolar RNA U82P
RF01152,sR1,Small nucleolar RNA sR1
RF01153,sn3060,Small nucleolar RNA sn3060
RF01155,snoR101,Small nucleolar RNA snoR101
RF01156,SNORD123,Small nucleolar RNA SNORD123
RF01157,sn1185,Small nucleolar RNA sn1185
RF01158,SNORD108,Small nucleolar RNA SNORD108
RF01159,snoU18,Small nucleolar RNA U18
RF01160,sn2841,Small nucleolar RNA sn2841
RF01161,SNORD5,Small nucleolar RNA SNORD5
RF01162,sn668,Small nucleolar RNA sn668
RF01163,snoR64a,Small nucleolar RNA snoR64a
RF01164,SNORD107,Small nucleolar RNA SNORD107
RF01165,sn2317,Small nucleolar RNA sn2317
RF01166,sn3071,Small nucleolar RNA sn3071
RF01167,sn2429,Small nucleolar RNA sn2429
RF01168,SNORD126,Small nucleolar RNA SNORD126
RF01169,SNORD112,Small nucleolar RNA SNORD112
RF01170,snoU61,Small nucleolar RNA U61
RF01171,snoR4,Small nucleolar RNA snoR4
RF01172,sn2343,Small nucleolar RNA sn2343
RF01173,snoU105B,Small nucleolar RNA U105B
RF01174,snoU43,Small nucleolar RNA U43
RF01175,snoU83D,Small nucleolar RNA U83
RF01176,snR78,Small nucleolar RNA snR78
RF01177,snR67,Small nucleolar RNA snR67
RF01178,snoR77Y,Small nucleolar RNA snoR77Y
RF01179,snoU83,Small nucleolar RNA U83
RF01180,snoR110,Small nucleolar RNA snoR110
RF01181,snR77,Small nucleolar RNA snR77
RF01182,SNORD11,Small nucleolar RNA SNORD11
RF01183,SNORD19B,Small nucleolar RNA SNORD19B
RF01184,snR79,Small nucleolar RNA snR79
RF01185,snR75,Small nucleolar RNA snR75
RF01186,SNORD127,Small nucleolar RNA SNORD127
RF01188,snR56,Small nucleolar RNA snR56
RF01189,sn1502,Small nucleolar RNA sn1502
RF01190,snR50,Small nucleolar RNA snR50
RF01191,SNORD121A,Small nucleolar RNA SNORD121A
RF01192,SNORD11B,Small nucleolar RNA SNORD11B
RF01193,snoR20a,Small nucleolar RNA snoR20a
RF01194,sn2903,Small nucleolar RNA sn2903
RF01195,snR52,Small nucleolar RNA snR52
RF01196,snoZ30a,Small nucleolar RNA Z30a
RF01197,snR39,Small nucleolar RNA snR39
RF01198,snoR69Y,Small nucleolar RNA snoR69Y
RF01199,snR58,Small nucleolar RNA snR58
RF01200,SNORD125,Small nucleolar RNA SNORD125
RF01201,snR40,Small nucleolar RNA snR40
